Toss Fair_Probability Biased_Probability
881 0.515323 0.668558
882 0.514739 0.668934
883 0.514156 0.669309
884 0.513575 0.668552
885 0.512994 0.667797
886 0.512415 0.668172
887 0.511838 0.667418
888 0.512387 0.666667
889 0.512936 0.665917
890 0.513483 0.666292
891 0.514029 0.665544
892 0.513453 0.665919
893 0.512878 0.666293
894 0.512304 0.665548
895 0.512849 0.665922
896 0.513393 0.666295
897 0.513935 0.665552
898 0.513363 0.665924
899 0.512792 0.666296
900 0.513333 0.666667
901 0.512764 0.667037
902 0.513304 0.666297
903 0.513843 0.665559
904 0.514381 0.665929
905 0.513812 0.665193
906 0.514349 0.665563
907 0.514884 0.665932
908 0.514317 0.665198
909 0.514851 0.665567
910 0.514286 0.665934
911 0.514819 0.666301
912 0.514254 0.666667
913 0.514786 0.665936
914 0.514223 0.666302
915 0.513661 0.666667
916 0.514192 0.667031
917 0.513631 0.667394
918 0.514161 0.667756
919 0.513602 0.668118
920 0.514130 0.668478
921 0.514658 0.668838
922 0.515184 0.668113
923 0.514626 0.668472
924 0.515152 0.667749
925 0.515676 0.668108
926 0.515119 0.668467
927 0.514563 0.668824
928 0.514009 0.668103
929 0.513455 0.668461
930 0.512903 0.668817
931 0.513426 0.668099
932 0.513948 0.667382
933 0.514469 0.667738
934 0.513919 0.668094
935 0.513369 0.668449
936 0.513889 0.667735
937 0.513340 0.668090
938 0.513859 0.667377
939 0.514377 0.666667
940 0.514894 0.667021
941 0.515409 0.666312
942 0.514862 0.666667
943 0.515376 0.665960
944 0.515890 0.666314
945 0.516402 0.665608
946 0.515856 0.665962
947 0.516367 0.666315
948 0.515823 0.666667
949 0.515279 0.667018
950 0.515789 0.667368
951 0.515247 0.667718
952 0.515756 0.667017
953 0.516264 0.667366
954 0.516771 0.666667
955 0.517277 0.667016
956 0.516736 0.667364
957 0.516196 0.667712
958 0.516701 0.667015
959 0.517205 0.667362
960 0.516667 0.667708
961 0.516129 0.667014
962 0.515593 0.666320
963 0.516096 0.665628
964 0.516598 0.665975
965 0.516062 0.665285
966 0.515528 0.664596
967 0.516029 0.664943
968 0.516529 0.665289
969 0.515996 0.665635
970 0.516495 0.664948
971 0.516993 0.665294
972 0.516461 0.664609
973 0.516958 0.664954
974 0.517454 0.665298
975 0.517949 0.665641
976 0.518443 0.665984
977 0.517912 0.666325
978 0.517382 0.666667
979 0.517875 0.667007
980 0.517347 0.667347
981 0.516820 0.667686
982 0.517312 0.667006
983 0.517803 0.666328
984 0.517276 0.666667
985 0.517766 0.667005
986 0.518256 0.666329
987 0.517730 0.666667
988 0.517206 0.665992
989 0.516684 0.666330
990 0.517172 0.666667
991 0.516650 0.665994
992 0.517137 0.666331
993 0.516616 0.666667
994 0.516097 0.667002
995 0.516583 0.666332
996 0.516064 0.666667
997 0.516550 0.667001
998 0.516032 0.667335
999 0.516517 0.667668
1000 0.516000 0.667000
1001 0.516484 0.667333
1002 0.515968 0.666667
1003 0.515454 0.666999
1004 0.514940 0.667331
1005 0.514428 0.667662
1006 0.514911 0.667992
1007 0.515392 0.667329
1008 0.514881 0.667659
1009 0.515362 0.667988
1010 0.515842 0.667327
1011 0.515331 0.667656
1012 0.515810 0.667984
1013 0.515301 0.667325
1014 0.515779 0.667653
1015 0.515271 0.667980
1016 0.515748 0.668307
1017 0.515241 0.668633
1018 0.514735 0.668959
1019 0.514230 0.669284
1020 0.514706 0.669608
1021 0.514202 0.669931
1022 0.514677 0.670254
1023 0.515152 0.670577
1024 0.515625 0.670898
1025 0.515122 0.670244
1026 0.515595 0.670565
1027 0.516066 0.670886
1028 0.516537 0.671206
1029 0.516035 0.670554
1030 0.515534 0.670874
1031 0.516004 0.670223
1032 0.516473 0.670543
1033 0.516941 0.670862
1034 0.516441 0.671180
1035 0.515942 0.671498
1036 0.515444 0.670849
1037 0.515911 0.670203
1038 0.515414 0.670520
1039 0.514918 0.670837
1040 0.514423 0.671154
1041 0.513929 0.671470
1042 0.514395 0.671785
1043 0.513902 0.672100
1044 0.513410 0.671456
1045 0.512919 0.671770
1046 0.513384 0.671128
1047 0.513849 0.670487
1048 0.513359 0.670802
1049 0.513823 0.671115
1050 0.514286 0.670476
1051 0.514748 0.669838
1052 0.515209 0.670152
1053 0.514720 0.669516
1054 0.514231 0.669829
1055 0.514692 0.669194
1056 0.515152 0.669508
1057 0.514664 0.669820
1058 0.514178 0.669187
1059 0.514636 0.668555
1060 0.514151 0.668868
1061 0.513666 0.669180
1062 0.513183 0.669492
1063 0.513641 0.668862
1064 0.513158 0.669173
1065 0.512676 0.669484
1066 0.513133 0.668856
1067 0.513590 0.669166
1068 0.513109 0.669476
1069 0.512629 0.669785
1070 0.512150 0.670093
1071 0.511671 0.670401
1072 0.512127 0.670709
1073 0.512582 0.671016
1074 0.512104 0.670391
1075 0.512558 0.670698
1076 0.513011 0.670074
1077 0.513463 0.670381
1078 0.512987 0.670686
1079 0.512512 0.670992
1080 0.512963 0.670370
1081 0.512488 0.670675
1082 0.512015 0.670980
1083 0.512465 0.671283
1084 0.511993 0.671587
1085 0.511521 0.671889
1086 0.511050 0.672192
1087 0.511500 0.671573
1088 0.511949 0.671875
1089 0.511478 0.672176
1090 0.511927 0.672477
1091 0.511457 0.671861
1092 0.511905 0.672161
1093 0.511436 0.672461
1094 0.511883 0.672761
1095 0.512329 0.673059
1096 0.512774 0.673358
1097 0.513218 0.672744
1098 0.513661 0.672131
1099 0.513194 0.672429
1100 0.512727 0.672727
1101 0.512262 0.672116
1102 0.512704 0.672414
1103 0.513146 0.671804
1104 0.513587 0.672101
1105 0.514027 0.672398
1106 0.513562 0.671790
1107 0.514002 0.671183
1108 0.513538 0.671480
1109 0.513075 0.671776
1110 0.513514 0.671171
1111 0.513951 0.671467
1112 0.513489 0.671763
1113 0.513926 0.672058
1114 0.514363 0.672352
1115 0.513901 0.672646
1116 0.513441 0.672939
1117 0.513876 0.673232
1118 0.514311 0.673524
1119 0.514745 0.673816
1120 0.514286 0.674107
1121 0.514719 0.674398
1122 0.514260 0.674688
1123 0.513802 0.674087
1124 0.514235 0.674377
1125 0.513778 0.673778
1126 0.513321 0.674067
1127 0.512866 0.673469
1128 0.513298 0.672872
1129 0.513729 0.672276
1130 0.513274 0.672566
1131 0.512821 0.672856
1132 0.513251 0.673145
1133 0.513680 0.672551
1134 0.513228 0.672840
1135 0.512775 0.673128
1136 0.512324 0.673415
1137 0.512753 0.673703
1138 0.513181 0.673111
1139 0.513608 0.673398
1140 0.513158 0.672807
1141 0.513585 0.672217
1142 0.513135 0.672504
1143 0.513561 0.672791
1144 0.513112 0.673077
1145 0.513537 0.673362
1146 0.513962 0.673647
1147 0.513514 0.673060
1148 0.513937 0.673345
1149 0.514360 0.672759
1150 0.514783 0.672174
1151 0.515204 0.672459
